doi;pmid;pmcid;publication_year;publication_month;publication_day;cdw_name;cdw_country;article_type;exclusion_criteria;study_disciplines;cdw_exploitation_mode;cdw_effective_used
10.1016/j.ijporl.2015.06.005;26096747;NA;2015;8;NA;Stanford Translational Research Integrated Database Environment (STRIDE);United States;study:epidemiology:descriptive;NA;pediatrics, otorhinolaryngology, surgery;retrospective;76
NULL;26672241;NA;2015;7;NA;NA;NA;methods:cdw-deployment;NA;otorhinolaryngology, oncology;"NA";NA
10.1093/jamia/ocv025;25914099;PMC4810779;2015;7;NA;Northwestern Medicine Enterprise Data Warehouse;United States;study:epidemiology:analytical;NA;public health;retrospective;534
10.1016/j.clinthera.2015.03.010;25857595;NA;2015;6;1;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;endocrinology, pharmacology;retrospective;27876
10.1016/j.urology.2015.01.027;25862121;NA;2015;6;NA;NorthShore University Heath System Data Warehouse;United States;study:epidemiology:descriptive;NA;reproductive biology, endocrinology;retrospective;9176
10.1177/2045125315577057;26199718;PMC4502586;2015;6;NA;Allscripts data warehouse;United States;study:epidemiology:analytical;NA;pharmacology, psychiatry;retrospective;7711
10.1177/1460458213504204;25301198;NA;2015;6;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1016/j.jpedsurg.2014.10.048;25783308;NA;2015;5;NA;Nationwide Children's Hospital Enterprise Data Warehouse;United States;study:practice-evaluation;NA;immunologie, pediatrics, infectious diseases;retrospective;513
10.1542/peds.2014-3290;25755237;NA;2015;4;NA;Pediatrix BabySteps Clinical Data Warehouse;United States;study:epidemiology:descriptive;NA;pharmacology;retrospective;420571
10.1177/1753944714559935;25411353;NA;2015;4;NA;no name;United States;study:epidemiology:analytical;NA;cardiovascular;retrospective;1453
10.1111/jdv.12666;25174801;NA;2015;4;NA;Seoul National University Clinical Data Warehouse;South Korea;study:epidemiology:descriptive;NA;pediatrics, dermatology;retrospective;111
10.1186/s13046-015-0146-5;25888436;PMC4380249;2015;3;27;ACORN Data Warehouse;United States;study:epidemiology:descriptive;NA;oncology, hepato-gastroenterology;retrospective;1363
10.1111/pme.12602;25529863;PMC4368484;2015;3;NA;no name;United States;study:practice-evaluation;NA;pharmacology, pain management;retrospective;1285
10.1093/jamia/ocu017;25710558;PMC4394967;2015;3;NA;Northwestern Medicine Enterprise Data Warehouse;United States;study:epidemiology:descriptive;NA;cardiovascular;retrospective;548
10.1186/s12879-015-0805-3;25887811;PMC4369345;2015;2;15;no name;United States;study:epidemiology:analytical;NA;infectious diseases, hematology;retrospective;1826745
10.2196/medinform.3738;25803561;PMC4376146;2015;2;13;NA;NA;methods:cdw-conception;NA;pediatrics;"NA";NA
10.1186/s12884-015-0430-6;25652103;PMC4332426;2015;2;5;Ambulance Victoria Clinical Data Warehouse;Australia;study:epidemiology:descriptive;NA;emergency, obstetrics;retrospective;1517
10.1002/acr.22352;24757045;NA;2015;2;NA;Utah Health Science Center Enterprise Data Warehouse (UUHSC);United States;study:epidemiology:analytical;NA;immunologie;retrospective;11062
10.1111/jsm.12730;25382540;NA;2015;1;NA;Northwestern Medicine Enterprise Data Warehouse;United States;study:epidemiology:analytical;NA;endocrinology, reproductive biology;retrospective;321674
NULL;26524889;NA;2015;1;NA;NA;NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.1007/s12098-014-1585-2;25319813;NA;2015;1;NA;Pediatrix Medical Group Clinical Data Warehouse;NA;methods:cdw-follow-up;NA;"NA";"NA";NA
10.1017/ice.2014.3;25627761;NA;2015;1;NA;Intermountain Healthcare Enterprise Data Warehouse;United States;study:epidemiology:analytical;NA;hematology, oncology, pharmacology, infectious diseases;retrospective;214
NULL;26306284;PMC4525266;2015;NA;NA;Columbia University Clinical Data Warehouse;United States;study:epidemiology:descriptive;NA;public health, quality;retrospective;4449684
10.1371/journal.pone.0135503;26302092;PMC4547800;2015;NA;NA;no name;China;study:epidemiology:analytical;NA;pediatrics, infectious diseases;retrospective;3649
10.4103/2153-3539.161615;26284156;PMC4530506;2015;NA;NA;NA;NA;methods:cdw-deployment;NA;"NA";"NA";NA
NULL;25676968;NA;2015;NA;NA;NA;NA;methods:cdw-tools;NA;"NA";"NA";NA
NULL;25676945;NA;2015;NA;NA;NA;NA;methods:cdw-conception;NA;public health;"NA";NA
NULL;26958297;PMC4765670;2015;NA;NA;NA;NA;methods:cdw-deployment;NA;"NA";"NA";NA
NULL;26262215;NA;2015;NA;NA;? (eHOP selon article);NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1155/2015/976272;26543873;PMC4620247;2015;NA;NA;Central data warehouse of the Lombardy region, Italy;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;25991243;NA;2015;NA;NA;EHOP;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.3414/ME14-02-0030;26394900;NA;2015;NA;NA;I2b2;NA;methods:cdw-conception;NA;oncology, pneumology;"NA";NA
NULL;26262353;NA;2015;NA;NA;Integrating Clinical, Genomics and Environmental Data (ICGED);NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.4338/ACI-2014-11-RA-0102;25848418;PMC4377565;2015;NA;NA;Intermountain Healthcare Enterprise Data Warehouse;NA;methods:cdw-tools;NA;"NA";"NA";NA
NULL;26958221;PMC4765673;2015;NA;NA;Intermountain Healthcare's enterprise data warehouse;NA;methods:cdw-tools;NA;"NA";"NA";NA
NULL;26262113;PMC5502805;2015;NA;NA;National Institutes of Health's Biomedical Translational Research Information System (BTRIS);NA;methods:cdw-conception;NA;hematology;"NA";NA
10.5210/ojphi.v7i3.6047;26834938;PMC4731224;2015;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1155/2015/932935;26539541;PMC4619903;2015;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;26152975;NA;2015;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;25991292;NA;2015;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;25991247;NA;2015;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1007/978-1-4939-1985-7_6;25417081;NA;2015;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;26306276;PMC4525267;2015;NA;NA;Stanford's STRIDE database;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.13063/2327-9214.1125;26290882;PMC4537084;2015;NA;NA;the Knowledge Program (KP) data warehouse;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1155/2015/126975;26543644;PMC4620379;2015;NA;NA;Northwestern Medicine Enterprise Data Warehouse;United States;study:epidemiology:descriptive;NA;oncology, cardiovascular;retrospective;167
10.1016/j.amjcard.2014.09.020;25438910;PMC4372470;2014;12;15;enterprise data warehouse at the University of Arkansas for Medical Sciences;United States;study:epidemiology:analytical;NA;hepato-gastroenterology, cardiovascular;retrospective;24484
10.1111/dote.12141;24215617;PMC4018425;2014;12;NA;Carolina Data Warehouse;United States;study:epidemiology:analytical;NA;hepato-gastroenterology;retrospective;308372
10.1016/j.jbi.2013.11.004;24262893;PMC4026354;2014;12;NA;Biomedical Translational Research Information System (BTRIS) data warehouse ?;NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.1007/s12028-014-0037-1;25208675;NA;2014;12;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1097/SPV.0000000000000124;25185625;NA;2014;12;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1177/1460458213494032;25155030;NA;2014;12;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1016/j.jbi.2014.07.006;25051403;PMC4335712;2014;12;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1016/j.jbi.2014.02.003;24534443;PMC4133331;2014;12;NA;Vanderbilt research data warehouse;NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.1007/s11606-014-3028-1;25355088;PMC4239287;2014;12;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;geriatrics, psychiatry;retrospective;807
10.1016/j.urology.2014.06.086;25440989;NA;2014;12;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:descriptive;NA;urology, geriatrics;retrospective;92448
10.1186/1479-5876-12-S2-S8;25471452;PMC4255915;2014;11;28;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1186/1479-5876-12-S2-S7;25471327;PMC4255913;2014;11;28;NA;NA;methods:cdw-tools;NA;"NA";"NA";NA
10.1001/jamapediatrics.2014.1353;25222512;NA;2014;11;NA;Pediatrix BabySteps Clinical Data Warehouse;United States;study:epidemiology:analytical;NA;pediatrics, neonatology, pneumology;retrospective;6210
10.1186/1471-230X-14-185;25326084;PMC4287486;2014;10;17;Mount Sinai Data Warehouse;United States;study:epidemiology:analytical;NA;neurology, hepato-gastroenterology;retrospective;316
NULL;25237867;NA;2014;10;NA;Carolina Data Warehouse;United States;study:epidemiology:descriptive;NA;pharmacology;retrospective;7180
10.1111/apt.12923;25155259;PMC5331854;2014;10;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;hepato-gastroenterology, geriatrics;retrospective;450
10.1186/1471-2105-15-306;25230706;PMC4261581;2014;9;18;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.2105/AJPH.2014.302090;25100421;PMC4151890;2014;9;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:descriptive;NA;hepato-gastroenterology, infectious diseases;retrospective;5499743
10.1109/JBHI.2013.2292591;25192572;PMC4386600;2014;9;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1016/j.clcc.2014.05.001;25065655;NA;2014;9;NA;ACORN Data Warehouse;United States;study:practice-evaluation;NA;oncology, hepato-gastroenterology;retrospective;648
10.2196/medinform.3590;25599727;PMC4288065;2014;8;6;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1136/amiajnl-2013-002370;24682495;PMC4078282;2014;8;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1136/amiajnl-2014-002756;24778202;PMC4078294;2014;8;NA;PCORnet Clinical Research Data Network;NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.1111/1742-6723.12248;24931380;NA;2014;8;NA;VACIS(®) clinical data warehouse;Australia;study:epidemiology:descriptive;NA;cardiovascular;retrospective;933
10.1377/hlthaff.2014.0147;25006136;NA;2014;7;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1016/j.ijmedinf.2014.04.001;24867195;NA;2014;7;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1377/hlthaff.2014.0054;25006147;NA;2014;7;NA;VHA Corporate Data Warehouse;NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.1089/AID.2013.0287;24564256;NA;2014;7;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;infectious diseases, geriatrics;retrospective;1153
10.1002/jhm.2191;24692303;NA;2014;7;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:descriptive;NA;public health;retrospective;77738
10.1038/jp.2014.37;24651734;PMC4420242;2014;6;NA;Pediatrix BabySteps Clinical Data Warehouse;United States;study:epidemiology:analytical;NA;pediatrics, hepato-gastroenterology;retrospective;58820
10.1136/amiajnl-2013-001950;24287172;PMC3994861;2014;6;NA;I2b2, STRIDE;NA;methods:cdw-tools;NA;"NA";"NA";NA
10.4172/2161-0959.1000166;25068077;PMC4109326;2014;5;15;Mount Sinai Data Warehouse;United States;study:epidemiology:analytical;NA;nephrology, pharmacology;retrospective;58
10.1542/peds.2013-3291;24777232;PMC4006440;2014;5;NA;Intermountain Healthcare Enterprise Data Warehouse;United States;study:epidemiology:descriptive;NA;infectious diseases, pediatrics, urology, nephrology;retrospective;13030
10.3904/kjim.2014.29.3.361;24851071;PMC4028526;2014;5;NA;Seoul National University Clinical Data Warehouse;South Korea;study:epidemiology:analytical;NA;rheumatology;retrospective;179
10.1016/j.jss.2013.10.036;24326179;NA;2014;4;NA;NA;NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.4258/hir.2014.20.2.109;24872909;PMC4030054;2014;4;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1007/s10549-014-2892-z;24596047;NA;2014;4;NA;ACORN Data Warehouse;United States;study:epidemiology:analytical;NA;oncology, gynecology;retrospective;797
10.1016/j.jbi.2013.11.010;24321170;PMC4026169;2014;4;NA;Allscripts data warehouse;United States;study:epidemiology:analytical;NA;pharmacology;retrospective;237748
NA;24893499;NA;2014;3;NA;South African National Health Laboratory Service (NHLS) Corporate Data Warehouse;South Africa;study:epidemiology:descriptive;NA;infectious diseases;retrospective;197100
10.1007/s00277-013-1951-6;24318541;NA;2014;3;NA;no name;Germany;study:epidemiology:analytical;NA;infectious diseases, hematology, oncology;retrospective;93
10.1089/pop.2013.0009;23869539;NA;2014;2;NA;Utah Health Science Center Enterprise Data Warehouse (UUHSC);United States;study:medico-economy;NA;endocrinology;retrospective;4978
10.1007/s12325-014-0098-8;24477354;PMC3930836;2014;2;NA;IMS Patient-Centric Integrated Data Warehouse;United States;study:medico-economy;NA;endocrinology;retrospective;416
10.1071/AH13163;24480646;NA;2014;2;NA;Ambulance Victoria Clinical Data Warehouse;Australia;study:epidemiology:analytical;NA;public health;retrospective;12e5
10.1001/jamapediatrics.2013.4208;24322269;PMC3927948;2014;2;NA;Pediatrix BabySteps Clinical Data Warehouse;United States;study:epidemiology:descriptive;NA;pharmacology;retrospective;1525739
10.1016/j.urolonc.2013.01.003;23506962;PMC4417353;2014;1;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:descriptive;NA;oncology, urology, geriatrics, public health;retrospective;275831
10.1016/j.urolonc.2013.04.013;23911680;NA;2014;1;NA;no name;United States;study:epidemiology:analytical;NA;oncology, urology;retrospective;112221
10.13063/2327-9214.1068;25848612;PMC4371470;2014;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.13063/2327-9214.1097;25848623;PMC4371501;2014;NA;NA;CHARN data warehouse;NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.5210/ojphi.v6i2.5249;25379128;PMC4221087;2014;NA;NA;Florida Health Data Warehouse (FHDW);NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.13063/2327-9214.1049;25848584;PMC4371424;2014;NA;NA;HMO Research Network (HMORN) Virtual Data Warehouse (VDW);NA;methods:cdw-deployment;NA;"NA";"NA";NA
NULL;24743073;NA;2014;NA;NA;I2b2;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1186/1471-2164-15-S8-S3;25435347;PMC4248814;2014;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.4338/ACI-2014-03-RA-0019;25298815;PMC4187092;2014;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;25160362;NA;2014;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;25160351;NA;2014;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;25160307;NA;2014;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1186/2041-1480-5-32;25089180;PMC4118313;2014;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;24943528;NA;2014;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1155/2014/435254;24892048;PMC4032693;2014;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;24825683;NA;2014;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1371/journal.pone.0087397;24551056;PMC3923765;2014;NA;NA;NA;NA;methods:cdw-tools;NA;"NA";"NA";NA
NULL;25954574;PMC4419766;2014;NA;NA;NA;NA;methods:cdw-tools;NA;"NA";"NA";NA
10.1186/2047-2501-2-4;25825668;PMC4340801;2014;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;25954394;PMC4419910;2014;NA;NA;p-medicine;NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.13063/2327-9214.1099;25848595;PMC4371519;2014;NA;NA;visit data warehouse;NA;methods:cdw-deployment;NA;"NA";"NA";NA
NULL;25160292;NA;2014;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;25160190;NA;2014;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1371/journal.pone.0115420;25517412;PMC4269438;2014;NA;NA;South African National Health Laboratory Service (NHLS) Corporate Data Warehouse;South Africa;study:medico-economy;NA;biology, infectious diseases;retrospective;226452
10.1371/journal.pone.0114727;25490718;PMC4260875;2014;NA;NA;South African National Health Laboratory Service (NHLS) Corporate Data Warehouse;South Africa;study:medico-economy;NA;infectious diseases, biology;retrospective;38e5
10.1186/1546-0096-11-45;24299016;PMC4176131;2013;12;3;Stanford Translational Research Integrated Database Environment (STRIDE);United States;study:epidemiology:analytical;NA;ophtalmology, rheumatology, pediatrics;retrospective;297
10.5808/GI.2013.11.4.186;24465229;PMC3897845;2013;12;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1186/1475-2840-12-159;24180232;PMC4176752;2013;11;4;Clinical Data Warehouse of Nihon University School of Medicine;Japan;study:epidemiology:analytical;NA;cardiovascular, endocrinology, pharmacology;retrospective;1342
10.1002/jcph.151;23907716;NA;2013;11;NA;Allscripts data warehouse;United States;study:epidemiology:descriptive;NA;pharmacology, psychiatry, cardiovascular;retrospective;207802
10.1145/2525314.2525320;27617325;PMC5013659;2013;11;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.4037/ajcc2013991;24186823;PMC4042540;2013;11;NA;Information Warehouse at The Ohio State University Wexner Medical Center (OSUWMC);United States;study:epidemiology:analytical;NA;reanimation;retrospective;7790
10.1007/s00464-013-3077-2;23836125;NA;2013;11;NA;Vanderbilt Procedural Outcomes Database (VPOD);United States;study:epidemiology:descriptive;NA;surgery, hepato-gastroenterology;retrospective;953
10.1016/j.jpeds.2013.06.021;23896191;PMC4102585;2013;11;NA;Intermountain Healthcare Enterprise Data Warehouse;United States;study:epidemiology:analytical;NA;pharmacology, obstetrics, infectious diseases;retrospective;690
10.1126/scitranslmed.3006548;24107779;PMC3963511;2013;10;9;Mount Sinai Data Warehouse;United States;study:epidemiology:analytical;NA;pharmacology;retrospective;3918732
10.1016/j.jbi.2013.06.010;23820016;PMC3810243;2013;10;NA;NewYork-Presbyterian Hospital's clinical data warehouse;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1016/j.jpeds.2013.04.067;23769504;PMC4027028;2013;10;NA;Pediatrix BabySteps Clinical Data Warehouse;United States;study:epidemiology:analytical;NA;neonatology, pediatrics, pneumology;retrospective;228
10.1111/1346-8138.12232;23957667;NA;2013;10;NA;Seoul National University Clinical Data Warehouse;South Korea;study:epidemiology:descriptive;NA;immunologie;retrospective;30
10.1086/673154;24018927;NA;2013;10;NA;Denver Health Medical Center Data Warehouse;United States;study:epidemiology:analytical;NA;infectious diseases, surgery;retrospective;2181
NULL;24471333;NA;2013;9;NA;no name;China;study:epidemiology:analytical;NA;pharmacology, hepato-gastroenterology, nephrology;retrospective;1982
10.1200/JOP.2012.000822;23943889;NA;2013;9;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:descriptive;NA;hematology, oncology;retrospective;137
10.1177/1740774513491338;23785065;PMC4213063;2013;8;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;23919446;NA;2013;7;1;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;public health;retrospective;4946621
10.1016/j.radonc.2012.09.019;23394741;PMC5119279;2013;7;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1186/1475-2840-12-87;23767412;PMC3687565;2013;6;14;Clinical Data Warehouse of Nihon University School of Medicine;Japan;study:epidemiology:analytical;NA;cardiovascular;retrospective;993
10.1016/j.dss.2013.02.008;23729945;PMC3665424;2013;6;1;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.4258/hir.2013.19.2.102;23882415;PMC3717433;2013;6;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1016/j.jbi.2013.01.005;23402960;PMC3660520;2013;6;NA;NA;NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.1136/amiajnl-2012-001376;23523876;PMC3715349;2013;6;NA;Intermountain Healthcare Enterprise Data Warehouse;United States;study:epidemiology:analytical;NA;pneumology;retrospective;48449
10.1136/amiajnl-2012-001401;23467473;PMC3628065;2013;5;1;Stanford Translational Research Integrated Database Environment (STRIDE);United States;study:epidemiology:analytical;NA;infectious diseases;retrospective;4891
10.1542/peds.2012-2634;23569092;NA;2013;5;NA;Intermountain Healthcare Enterprise Data Warehouse;United States;study:medico-economy;NA;pediatrics, neonatology;retrospective;5308
10.1098/rsfs.2012.0088;24427531;PMC3638485;2013;4;6;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1093/aje/kws293;23462966;PMC3613126;2013;4;1;Marshfield Clinic’s Enterprise Data Warehouse;United States;study:epidemiology:descriptive;NA;odontology;retrospective;2056
10.1097/MLR.0b013e31827da95a;23269113;NA;2013;4;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;geriatrics, public health;retrospective;4598408
10.1086/669864;23466915;NA;2013;4;NA;NorthShore University Heath System Data Warehouse;United States;study:epidemiology:analytical;NA;infectious diseases, hepato-gastroenterology;retrospective;829
10.1071/AH11161;23257311;NA;2013;2;NA;Ambulance Victoria Clinical Data Warehouse;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1136/bmjqs-2012-001102;23038408;NA;2013;2;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.4338/ACI-2012-12-RA-0051;23650491;PMC3644818;2013;NA;NA;Allscripts data warehouse;United States;study:practice-evaluation;NA;pharmacology;retrospective;263597
10.1080/00918369.2013.744932;23414280;NA;2013;NA;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:descriptive;NA;psychiatry, geriatrics;retrospective;15409
10.5210/ojphi.v5i2.4634;23923094;PMC3733760;2013;NA;NA;NA;NA;methods:cdw-deployment;NA;"NA";"NA";NA
NULL;24303325;PMC3814467;2013;NA;NA;Carolina Data Warehouse for Health (CDW-H);NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;24303270;NA;2013;NA;NA;Duke Medicine Enterprise Data Warehouse;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;23920620;NA;2013;NA;NA;eHOP;NA;methods:cdw-conception;NA;infectious diseases, surgery;retrospective;NA
NULL;24303274;NA;2013;NA;NA;I2b2;NA;methods:cdw-deployment;NA;"NA";"NA";NA
NULL;24551366;PMC3900207;2013;NA;NA;I2b2, HMO Research Network's Virtual Data Warehouse, Observational Medical Outcomes Partnership (OMOP);NA;methods:cdw-conception;NA;"NA";"NA";NA
10.3414/ME12-01-0046;23450342;NA;2013;NA;NA;INHERITANCE data warehouse;NA;methods:cdw-deployment;NA;cardiovascular;"NA";NA
10.13063/2327-9214.1021;25848564;PMC4371426;2013;NA;NA;New York Presbyterian Hospital's clinical data warehouse;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.12954/PI.12015;24223403;PMC3814112;2013;NA;NA;none;NA;methods:cdw-deployment;NA;oncology, urology;"NA";NA
10.2174/1874431101307010034;24403981;PMC3881102;2013;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;24303263;PMC3845791;2013;NA;NA;NA;NA;methods:cdw-tools;NA;"NA";"NA";NA
10.1109/EMBC.2013.6610615;24110802;NA;2013;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;23920922;PMC4817854;2013;NA;NA;NA;NA;methods:cdw-tools;NA;"NA";"NA";NA
NULL;23920818;NA;2013;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;23920680;NA;2013;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
NULL;24303229;PMC3845760;2013;NA;NA;Stanford clinical data warehouse;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.13063/2327-9214.1010;25848561;PMC4371514;2013;NA;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1371/journal.pone.0063499;23717437;PMC3662653;2013;NA;NA;Stanford Translational Research Integrated Database Environment (STRIDE);United States;study:epidemiology:analytical;NA;cardiovascular, pharmacology;retrospective;1392
10.1186/2193-1801-2-638;24340245;PMC3858594;2013;NA;NA;Clinical Decision Information System Data Warehouse;United States;study:epidemiology:analytical;NA;genetics, oncology, gynecology;retrospective;912
10.2147/VHRM.S39351;23440682;PMC3578669;2013;NA;NA;Clinical Data Warehouse of Nihon University School of Medicine;Japan;study:epidemiology:analytical;NA;cardiovascular;retrospective;260
10.1371/journal.pcbi.1003405;24385893;PMC3873228;2013;NA;NA;I2b2 HEGP (Pompidou University Hospital);France;study:epidemiology:analytical;NA;genetics, pediatrics;retrospective;72711
10.1186/2193-1801-1-72;23420567;PMC3568480;2012;12;NA;Adverse Drug Reaction (ADR or iADR) data warehouse;NA;methods:cdw-tools;NA;pharmacology;"NA";NA
10.1136/amiajnl-2012-000960;22878682;PMC3486732;2012;12;NA;I2b2;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.2196/ijmr.2126;23608745;PMC3626127;2012;11;14;DB4US;NA;methods:cdw-deployment;NA;"NA";"NA";NA
10.1007/s00228-012-1289-3;22546896;NA;2012;11;NA;Clinical Data Warehouse of Nihon University School of Medicine;Japan;study:epidemiology:analytical;NA;immunologie, hepato-gastroenterology;retrospective;370
10.1136/amiajnl-2012-000850;22523345;PMC3422842;2012;10;NA;I2b2 HEGP (Pompidou University Hospital);France;study:epidemiology:evaluative;NA;pharmacology;retrospective;8692
10.1016/j.genhosppsych.2012.04.003;22632926;NA;2012;10;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:descriptive;NA;psychiatry, geriatrics;retrospective;89
10.1186/1472-6947-12-106;22970696;PMC3537747;2012;9;13;Northwestern Medical Enterprise Data Warehouse;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1016/j.jamcollsurg.2012.05.024;22726893;PMC3423490;2012;9;NA;no name;United States;study:epidemiology:analytical;NA;public health, surgery;retrospective;1442
10.1016/j.jbi.2012.06.005;22750536;PMC4398308;2012;8;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1093/cid/cis422;22534148;PMC3520385;2012;8;NA;Intermountain Healthcare Enterprise Data Warehouse;United States;study:epidemiology:analytical;NA;infectious diseases;retrospective;1514
NULL;22973733;NA;2012;7;NA;NA;NA;methods:cdw-conception;NA;"NA";"NA";NA
10.1136/archdischild-2011-300806;22535238;NA;2012;7;NA;Clalit Health Services Data Warehouse;Israel;study:epidemiology:analytical;NA;endocrinology, genetics;retrospective;428
10.1016/j.juro.2012.02.2560;22591958;NA;2012;7;NA;Northwestern Medicine Enterprise Data Warehouse;United States;study:epidemiology:descriptive;NA;urology;retrospective;118
10.1089/jwh.2011.3248;22500552;NA;2012;7;NA;no name;United States;study:epidemiology:analytical;NA;obstetrics, hematology;retrospective;59282
10.1186/1756-0500-5-314;22716038;PMC3532189;2012;6;20;ACORN Data Warehouse;United States;study:epidemiology:analytical;NA;oncology, hepato-gastroenterology;retrospective;182
